('Chinua Achebe',         'chinua_achebe',      'chinua_achebe@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Philippa Gregory',      'philippa_gregory',   'philippa_gregory@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('John Grisham',          'john_grisham',      'john_grisham@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('David Grossman',        'david_grossman',     'david_grossman@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Mark Haddon',           'mark_haddon',      'mark_haddon@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Tessa Hadley',          'tessa_hadley',      'tessa_hadley@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Knut Hamsun',           'knut_hamsun',      'knut_hamsun@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Mohammed Hanif',        'mohammed_hanif',     'mohammed_hanif@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Elizabeth Hardwick',    'elizabeth_hardwick', 'elizabeth_hardwick@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Thomas Hardy',          'thomas_hardy',      'thomas_hardy@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Thomas Harris',         'thomas_harris',      'thomas_harris@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Robert Harris',         'robert_harris',      'robert_harris@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Tony Harrison',         'tony_harrison',      'tony_harrison@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('David Harsent',         'david_harsent',      'david_harsent@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Josephine Hart',        'josephine_hart',     'josephine_hart@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Seamus Heaney',         'seamus_heaney',      'seamus_heaney@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Helen Simpson',         'helen_simpson',      'helen_simpson@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Joseph Heller',         'joseph_heller',      'joseph_heller@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Ernest Hemingway',      'ernest_hemingway',   'ernest_hemingway@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Aleksandar Hemon',      'aleksandar_hemon',   'aleksandar_hemon@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('James Herbert',         'james_herbert',      'james_herbert@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Herta Müller',          'herta_müller',      'herta_müller@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Georgette Heyer',       'georgette_heyer',    'georgette_heyer@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Carl Hiaasen',          'carl_hiaasen',      'carl_hiaasen@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Charlie Higson',        'charlie_higson',     'charlie_higson@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Tobias Hill',           'tobias_hill',      'tobias_hill@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Peter Hitchens',        'peter_hitchens',     'peter_hitchens@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Christopher Hitchens',  'christopher_hitchens',                         'christopher_hitchens@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Shere Hite',            'shere_hite',      'shere_hite@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Eric Hobsbawm',         'eric_hobsbawm',      'eric_hobsbawm@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Alan Hollinghurst',     'alan_hollinghurst',  'alan_hollinghurst@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Holly Black',           'holly_black',      'holly_black@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Richard Holmes',        'richard_holmes',     'richard_holmes@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Homer',                 'homer',      'homer@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Chloe Hooper',          'chloe_hooper',      'chloe_hooper@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Nick Hornby',           'nick_hornby',      'nick_hornby@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Anthony Horowitz',      'anthony_horowitz',   'anthony_horowitz@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Michel Houellebecq',    'michel_houellebecq', 'michel_houellebecq@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Elizabeth Jane Howard', 'elizabeth_jane_howard',                        'elizabeth_jane_howard@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Ted Hughes',            'ted_hughes',      'ted_hughes@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Shirley Hughes',        'shirley_hughes',     'shirley_hughes@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Siri Hustvedt',         'siri_hustvedt',      'siri_hustvedt@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Aldous Huxley',         'aldous_huxley',      'aldous_huxley@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Eva Ibbotson',          'eva_ibbotson',      'eva_ibbotson@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Henrik Ibsen',          'henrik_ibsen',      'henrik_ibsen@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Mick Imlah',            'mick_imlah',      'mick_imlah@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('John Irving',           'john_irving',      'john_irving@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Kazuo Ishiguro',        'kazuo_ishiguro',     'kazuo_ishiguro@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Jackie Morris',         'jackie_morris',      'jackie_morris@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Howard Jacobson',       'howard_jacobson',    'howard_jacobson@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Henry James',           'henry_james',      'henry_james@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('EL James',              'el_james',      'el_james@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('PD James',              'pd_james',      'pd_james@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Jay McInerney',         'jay_mcinerney',      'jay_mcinerney@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Jo Nesbø',              'jo_nesbø',      'jo_nesbø@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Joanna Kavenna',        'joanna_kavenna',     'joanna_kavenna@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('John Cheever',          'john_cheever',      'john_cheever@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('John Gray',             'john_gray',      'john_gray@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Samuel Johnson',        'samuel_johnson',     'samuel_johnson@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Sadie Jones',           'sadie_jones',      'sadie_jones@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Ben Jonson',            'ben_jonson',      'ben_jonson@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('James Joyce',           'james_joyce',      'james_joyce@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Juan Gabriel Vásquez',  'juan_gabriel_vásquez',                         'juan_gabriel_vásquez@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Tony Judt',             'tony_judt',      'tony_judt@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Ismail Kadare',         'ismail_kadare',      'ismail_kadare@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Franz Kafka',           'franz_kafka',      'franz_kafka@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Ryszard Kapuściński',   'ryszard_kapuściński','ryszard_kapuściński@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Kathryn Schulz',        'kathryn_schulz',     'kathryn_schulz@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Jackie Kay',            'jackie_kay',      'jackie_kay@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('John Keats',            'john_keats',      'john_keats@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('James Kelman',          'james_kelman',      'james_kelman@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Stephen Kelman',        'stephen_kelman',     'stephen_kelman@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Ken Follett',           'ken_follett',      'ken_follett@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Thomas Keneally',       'thomas_keneally',    'thomas_keneally@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('AL Kennedy',            'al_kennedy',      'al_kennedy@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Frank Kermode',         'frank_kermode',      'frank_kermode@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Jack Kerouac',          'jack_kerouac',      'jack_kerouac@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Marian Keyes',          'marian_keyes',      'marian_keyes@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Stephen King',          'stephen_king',      'stephen_king@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Barbara Kingsolver',    'barbara_kingsolver', 'barbara_kingsolver@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Jeff Kinney',           'jeff_kinney',      'jeff_kinney@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Rudyard Kipling',       'rudyard_kipling',    'rudyard_kipling@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Kiran Desai',           'kiran_desai',      'kiran_desai@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Arthur Koestler',       'arthur_koestler',    'arthur_koestler@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Milan Kundera',         'milan_kundera',      'milan_kundera@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Hanif Kureishi',        'hanif_kureishi',     'hanif_kureishi@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Mark Kurlansky',        'mark_kurlansky',     'mark_kurlansky@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Tony Kushner',          'tony_kushner',      'tony_kushner@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Jhumpa Lahiri',         'jhumpa_lahiri',      'jhumpa_lahiri@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('RD Laing',              'rd_laing',      'rd_laing@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Philip Larkin',         'philip_larkin',      'philip_larkin@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Stieg Larsson',         'stieg_larsson',      'stieg_larsson@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('DH Lawrence',           'dh_lawrence',      'dh_lawrence@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('John le Carré',         'john_le_carré',      'john_le_carré@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Darian Leader',         'darian_leader',      'darian_leader@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Harper Lee',            'harper_lee',      'harper_lee@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Ursula K Le Guin',      'ursula_k_le_guin',   'ursula_k_le_guin@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Elmore Leonard',        'elmore_leonard',     'elmore_leonard@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Doris Lessing',         'doris_lessing',      'doris_lessing@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Jonathan Lethem',       'jonathan_lethem',    'jonathan_lethem@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Primo Levi',            'primo_levi',      'primo_levi@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Steven D Levitt and Stephen J Dubner',                       'steven_d_levitt_and_stephen_j_dubner',         'steven_d_levitt_and_stephen_j_dubner@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Andrea Levy',           'andrea_levy',      'andrea_levy@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Deborah Levy',          'deborah_levy',      'deborah_levy@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('CS Lewis',              'cs_lewis',      'cs_lewis@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
